village,total_area,period,area_ha,measurement_time
Katikati,28065.7717,pre,5602.289214,2010-2015
Katikati,28065.7717,post,4951.934186,2016-2021
Olchoro Onyokie,4644.339906,pre,549.0448724,2010-2015
Olchoro Onyokie,4644.339906,post,512.6780717,2016-2021
Eleng'ata Dapash,8357.438925,pre,1240.808946,2010-2015
Eleng'ata Dapash,8357.438925,post,1138.374735,2016-2021
Losirwa,21501.06605,pre,5740.20982,2010-2015
Losirwa,21501.06605,post,4937.638717,2016-2021
Ngoswaki,17677.63375,pre,3096.007103,2010-2015
Ngoswaki,17677.63375,post,3092.840143,2016-2021
Kakoi,5050.077434,pre,962.2797846,2010-2015
Kakoi,5050.077434,post,975.1848049,2016-2021
Sangaiwe,7694.564114,pre,1664.249846,2010-2015
Sangaiwe,7694.564114,post,1441.011192,2016-2021
Matale A,13442.26501,pre,2023.604427,2010-2015
Matale A,13442.26501,post,2359.056335,2016-2021
Kimana,54784.45736,pre,9158.457527,2010-2015
Kimana,54784.45736,post,9915.968181,2016-2021
Kitwai A,123677.9361,pre,22707.50306,2010-2015
Kitwai A,123677.9361,post,19695.30793,2016-2021
Nadonjukin,27678.98409,pre,5527.571982,2010-2015
Nadonjukin,27678.98409,post,4895.774385,2016-2021
Engaruka Chini,37582.02451,pre,18085.58477,2010-2015
Engaruka Chini,37582.02451,post,17641.15087,2016-2021
